101,1133,109
102,1158,165
103,1137,208
104,1159,251
105,1132,297
106,1051,63
107,1077,109
108,1046,156
109,1076,207
110,1051,255
111,1077,299
112,1054,342
113,993,64
114,970,119
115,997,155
116,969,211
117,997,255
118,974,304
119,998,346
120,917,121
121,891,163
122,919,214
123,891,265
124,912,304
201,860,383
202,884,430
203,859,478
204,886,528
205,855,578
206,786,345
207,807,389
208,775,437
209,805,478
210,780,532
211,798,574
212,779,619
213,733,341
214,707,389
215,736,434
216,707,483
217,738,528
218,710,580
219,730,623
220,655,385
221,625,431
222,647,477
223,612,529
224,643,575
301,602,119
302,631,162
303,605,213
304,632,260
305,605,303
306,527,73
307,556,120
308,533,163
309,559,214
310,528,264
311,552,304
312,527,345
313,476,73
314,451,116
315,475,161
316,442,213
317,471,261
318,447,303
319,473,345
320,397,120
321,370,162
322,392,211
323,367,256
324,390,301
401,346,388
402,372,436
403,350,476
404,369,525
405,344,575
406,263,337
407,287,387
408,264,428
409,289,475
410,260,526
411,289,580
412,266,616
413,211,339
414,186,385
415,212,427
416,184,473
417,206,529
418,183,572
419,213,615
420,135,383
421,108,423
422,134,473
423,109,523
424,135,575
